workload,batch_size,batch_index,block_distribution,zipf_alpha,n,r_size,r_prime_size,n_r,n_r_prime,deleted_count,seed,incremental_total_time,static_update_time,static_check_time,static_total_time,speedup,touched_block_entries,touched_block_count,active_block_count,mean_deleted_block_size,median_deleted_block_size,p95_deleted_block_size,p99_deleted_block_size,max_deleted_block_size,primitive_update_count,result_match,inc_is_repair,static_is_repair,code_version
swap,10,1,uniform,,11000,11000,10000,11000,10000,1000,1,0.0001188000023830682,1.0499992640689015e-05,0.011249400005908683,0.011259899998549372,94.78030111684723,200,20,100,10.0,10.0,10.0,10.0,10,20,True,True,True,68869e6
swap,10,2,uniform,,11000,11000,10000,11000,10000,1000,1,0.00016120000509545207,1.2200005585327744e-05,0.010399199993116781,0.010411399998702109,64.5868465856261,200,20,100,10.0,10.0,10.0,10.0,10,20,True,True,True,68869e6
swap,10,3,uniform,,11000,11000,10000,11000,10000,1000,1,0.00012700000661425292,1.1500000255182385e-05,0.010959100007312372,0.010970600007567555,86.38267272606858,200,20,100,10.0,10.0,10.0,10.0,10,20,True,True,True,68869e6
swap,10,4,uniform,,11000,11000,10000,11000,10000,1000,1,0.00013729999773204327,1.3100012438371778e-05,0.011435199994593859,0.01144830000703223,83.38164745912745,200,20,100,10.0,10.0,10.0,10.0,10,20,True,True,True,68869e6
swap,100,0,uniform,,11000,11000,10000,11000,10000,1000,1,0.0009267999848816544,6.849999772384763e-05,0.009302400023443624,0.009370900021167472,10.111027378106904,2000,200,100,10.0,10.0,10.0,10.0,10,200,True,True,True,68869e6
swap,100,1,uniform,,11000,11000,10000,11000,10000,1000,1,0.000972700014244765,8.279999019578099e-05,0.010766099992906675,0.010848899983102456,11.153387297445331,2000,200,100,10.0,10.0,10.0,10.0,10,200,True,True,True,68869e6
swap,100,2,uniform,,11000,11000,10000,11000,10000,1000,1,0.0012066999915987253,8.950001210905612e-05,0.010070299991639331,0.010159800003748387,8.419491236001363,2000,200,100,10.0,10.0,10.0,10.0,10,200,True,True,True,68869e6
swap,100,3,uniform,,11000,11000,10000,11000,10000,1000,1,0.0009354999929200858,8.979998528957367e-05,0.010555200016824529,0.010645000002114102,11.378941830760057,2000,200,100,10.0,10.0,10.0,10.0,10,200,True,True,True,68869e6
swap,100,4,uniform,,11000,11000,10000,11000,10000,1000,1,0.0017918999947141856,0.00010769997606985271,0.011459400004241616,0.011567099980311468,6.455215142827466,2000,200,100,10.0,10.0,10.0,10.0,10,200,True,True,True,68869e6
d_only,1,0,zipf_1.2,1.2,11000,11001,10000,11001,10000,1001,1,8.800008799880743e-06,1.3999815564602613e-06,0.00981710001360625,0.00981849999516271,1115.7375200915446,0,0,101,9.910891089108912,3.0,30.0,110.0,251,1,True,True,True,68869e6
d_only,1,1,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,8.299975888803601e-06,1.200009137392044e-06,0.009116900007938966,0.009118100017076358,1098.5694584217263,0,0,101,9.900990099009901,3.0,30.0,110.0,251,1,True,True,True,68869e6
d_only,1,2,zipf_1.2,1.2,11000,11001,10000,11001,10000,1001,1,1.1500000255182385e-05,2.00001522898674e-06,0.010029199998825788,0.010031200014054775,872.2782427360637,0,0,102,9.813725490196079,3.0,29.749999999999943,109.57999999999979,251,1,True,True,True,68869e6
d_only,1,3,zipf_1.2,1.2,11000,11002,10000,11002,10000,1002,1,1.5300000086426735e-05,1.9999861251562834e-06,0.01194480000413023,0.011946799990255386,780.836596259492,0,0,103,9.728155339805825,3.0,29.499999999999957,109.16000000000017,251,1,True,True,True,68869e6
d_only,1,4,zipf_1.2,1.2,11000,11001,10000,11001,10000,1001,1,1.2400007108226418e-05,2.100015990436077e-06,0.011855499993544072,0.011857600009534508,956.2575171160937,0,0,103,9.718446601941748,3.0,29.499999999999957,109.16000000000017,251,1,True,True,True,68869e6
d_only,10,0,zipf_1.2,1.2,11000,11002,10000,11002,10000,1002,1,3.960001049563289e-05,6.599992047995329e-06,0.014323000010335818,0.014329600002383813,361.8584900113623,0,0,106,9.452830188679245,3.0,28.75,107.90000000000012,250,10,True,True,True,68869e6
d_only,10,1,zipf_1.2,1.2,11000,11002,10000,11002,10000,1002,1,3.429999924264848e-05,7.599999662488699e-06,0.012569100013934076,0.012576700013596565,366.66764697646835,0,0,111,9.027027027027026,3.0,27.5,105.80000000000024,247,10,True,True,True,68869e6
d_only,10,2,zipf_1.2,1.2,11000,11002,10000,11002,10000,1002,1,3.4100026823580265e-05,7.200025720521808e-06,0.012225999991642311,0.012233200017362833,358.74458635039963,0,0,116,8.637931034482758,3.0,26.25,103.54999999999976,246,10,True,True,True,68869e6
d_only,10,3,zipf_1.2,1.2,11000,11002,10000,11002,10000,1002,1,3.37999954354018e-05,8.099974365904927e-06,0.01745650000520982,0.017464599979575723,516.7042111870662,0,0,120,8.35,3.0,25.249999999999986,101.0200000000001,244,10,True,True,True,68869e6
d_only,10,4,zipf_1.2,1.2,11000,11006,10000,11006,10000,1006,1,3.779999678954482e-05,8.000002708286047e-06,0.015097099996637553,0.015105099999345839,399.6058540281091,0,0,127,7.921259842519685,3.0,24.099999999999966,98.07999999999979,243,10,True,True,True,68869e6
d_only,100,0,zipf_1.2,1.2,11000,11006,10000,11006,10000,1006,1,0.00033229999826289713,7.740000728517771e-05,0.019706299994140863,0.01978370000142604,59.53566086321278,0,0,153,6.57516339869281,2.0,19.80000000000001,83.75999999999962,240,100,True,True,True,68869e6
d_only,100,1,zipf_1.2,1.2,11000,10988,10000,10988,10000,988,1,0.00038330000825226307,9.700001101009548e-05,0.012725199980195612,0.012822199991205707,33.45212552869806,0,0,185,5.34054054054054,2.0,15.799999999999983,67.11999999999989,227,100,True,True,True,68869e6
d_only,100,2,zipf_1.2,1.2,11000,10994,10000,10994,10000,994,1,0.0002545999886933714,6.130000110715628e-05,0.013400700001511723,0.013462000002618879,52.87510055168108,0,0,228,4.359649122807017,1.0,10.649999999999977,56.409999999999826,217,100,True,True,True,68869e6
d_only,100,3,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,0.0002269999822601676,5.989999044686556e-05,0.011357700015651062,0.011417600006097928,50.29780131441627,0,0,272,3.676470588235294,1.0,9.449999999999989,47.64000000000033,205,100,True,True,True,68869e6
d_only,100,4,zipf_1.2,1.2,11000,11006,10000,11006,10000,1006,1,0.0002280999906361103,5.750000127591193e-05,0.011000600003171712,0.011058100004447624,48.47917780973826,0,0,315,3.193650793650794,1.0,7.300000000000011,36.600000000000136,195,100,True,True,True,68869e6
swap,1,0,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,2.340000355616212e-05,2.100015990436077e-06,0.012030399986542761,0.012032500002533197,514.2093236718581,8,2,100,10.0,3.0,30.34999999999998,111.41000000000072,251,2,True,True,True,68869e6
swap,1,1,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,2.820001100189984e-05,2.9999937396496534e-06,0.009722999995574355,0.009725999989314005,344.8934820861865,18,2,100,10.0,3.0,30.34999999999998,111.41000000000072,251,2,True,True,True,68869e6
swap,1,2,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,1.930000144056976e-05,2.2999884095042944e-06,0.010835299995960668,0.010837599984370172,561.5336360332537,6,2,100,10.0,3.0,30.34999999999998,111.41000000000072,251,2,True,True,True,68869e6
swap,1,3,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,2.269999822601676e-05,2.700020559132099e-06,0.009349300002213567,0.0093520000227727,411.98241205385875,4,2,100,10.0,3.0,30.34999999999998,111.41000000000072,251,2,True,True,True,68869e6
swap,1,4,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,2.6299996534362435e-05,2.400018274784088e-06,0.010227999999187887,0.01023040001746267,388.9886450781875,22,2,100,10.0,3.0,30.34999999999998,111.41000000000072,251,2,True,True,True,68869e6
swap,10,0,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,0.00021239998750388622,6.599992047995329e-06,0.010027200012700632,0.010033800004748628,47.24011579598159,740,20,100,10.0,3.0,30.34999999999998,111.41000000000072,251,20,True,True,True,68869e6
swap,10,1,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,0.00012599999899975955,1.0399991879239678e-05,0.009863799990853295,0.009874199982732534,78.36666715173051,198,20,100,10.0,3.0,30.34999999999998,111.41000000000072,251,20,True,True,True,68869e6
swap,10,2,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,0.00013929998385719955,1.1199997970834374e-05,0.009580600017216057,0.009591800015186891,68.85715094568657,256,20,100,10.0,3.0,30.34999999999998,111.41000000000072,251,20,True,True,True,68869e6
swap,10,3,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,0.00011950000771321356,1.200000406242907e-05,0.01428559998748824,0.014297599991550669,119.64518049122879,130,20,100,10.0,3.0,30.34999999999998,111.41000000000072,251,20,True,True,True,68869e6
swap,10,4,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,0.0001058999914675951,1.3500015484169126e-05,0.009526400011964142,0.009539900027448311,90.08404906592911,116,20,100,10.0,3.0,30.34999999999998,111.41000000000072,251,20,True,True,True,68869e6
swap,100,0,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,0.001125300012063235,6.469999789260328e-05,0.012498999974923208,0.012563699972815812,11.164755921205666,2000,200,100,10.0,3.0,30.34999999999998,111.41000000000072,251,200,True,True,True,68869e6
swap,100,1,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,0.0011586000036913902,0.0001047999830916524,0.011465899995528162,0.011570699978619814,9.98679435677081,2000,200,100,10.0,3.0,30.34999999999998,111.41000000000072,251,200,True,True,True,68869e6
swap,100,2,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,0.0010173000046052039,8.880000677891076e-05,0.010007400007452816,0.010096200014231727,9.924506014476902,2000,200,100,10.0,3.0,30.34999999999998,111.41000000000072,251,200,True,True,True,68869e6
swap,100,3,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,0.0011103999859187752,9.57000011112541e-05,0.010541800002101809,0.010637500003213063,9.579881248297482,2000,200,100,10.0,3.0,30.34999999999998,111.41000000000072,251,200,True,True,True,68869e6
swap,100,4,zipf_1.2,1.2,11000,11000,10000,11000,10000,1000,1,0.0011106999882031232,9.370001498609781e-05,0.01116379999439232,0.011257500009378418,10.135500251144023,2000,200,100,10.0,3.0,30.34999999999998,111.41000000000072,251,200,True,True,True,68869e6
