workload,batch_size,batch_index,block_distribution,zipf_alpha,n,r_size,r_prime_size,n_r,n_r_prime,deleted_count,seed,incremental_total_time,static_update_time,static_check_time,static_total_time,speedup,touched_block_entries,touched_block_count,primitive_update_count,result_match,inc_is_repair,static_is_repair,code_version,active_block_count,mean_deleted_block_size,median_deleted_block_size,p95_deleted_block_size,p99_deleted_block_size,max_deleted_block_size
swap,10,1,uniform,,110000,110000,100000,110000,100000,10000,42,0.00020299997413530946,2.0000006770715117e-05,0.2271797000139486,0.22719970002071932,1119.2104875307991,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,2,uniform,,110000,110000,100000,110000,100000,10000,42,0.00015780000831000507,1.2100004823878407e-05,0.201314599980833,0.2013266999856569,1275.8345334820372,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,3,uniform,,110000,110000,100000,110000,100000,10000,42,0.0001849000109359622,1.3699987903237343e-05,0.22498160001123324,0.22499529999913648,1216.8484948173464,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,4,uniform,,110000,110000,100000,110000,100000,10000,42,0.00016419999883510172,1.2599979527294636e-05,0.18856060001417063,0.18857319999369793,1148.436061702248,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,5,uniform,,110000,110000,100000,110000,100000,10000,42,0.0001598999951966107,1.2900010915473104e-05,0.19405879999976605,0.19407170001068152,1213.7067282088021,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,6,uniform,,110000,110000,100000,110000,100000,10000,42,0.00020870001753792167,1.7000013031065464e-05,0.20361339999362826,0.20363040000665933,975.7085907750767,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,7,uniform,,110000,110000,100000,110000,100000,10000,42,0.00015970002277754247,0.00013799997395835817,0.19898700001067482,0.19912499998463318,1246.8689516845502,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,8,uniform,,110000,110000,100000,110000,100000,10000,42,0.00021329999435693026,1.6700010746717453e-05,0.19629240001086146,0.19630910002160817,920.3427342483188,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,9,uniform,,110000,110000,100000,110000,100000,10000,42,0.0001875000016298145,1.4699995517730713e-05,0.23558529998990707,0.2355999999854248,1256.533322333379,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,10,uniform,,110000,110000,100000,110000,100000,10000,42,0.00016799999866634607,1.3399985618889332e-05,0.19779170001856983,0.19780510000418872,1177.4113188955234,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
swap,10,11,uniform,,110000,110000,100000,110000,100000,10000,42,0.0001480999926570803,1.09999964479357e-05,0.19173540000338107,0.191746399999829,1294.70904461022,200,20,20,True,True,True,68869e6,1000,10.0,10.0,10.0,10.0,10
