algorithm,case_type,base_clean_size,n,r_size,r_prime_size,seed,rep,conflict_ratio,fd_count,candidate_key_width,deleted_count,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,peak_memory_mb,result,timeout,code_version
FD-Hash,pass,10000,11000,11000,10000,1,3,0.1,4,1,1000,4,0.17322019999846816,0.00871630001347512,0.18326749998959713,5.641792297363281,35.92578125,5.641792297363281,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,1,4,0.1,4,1,1000,4,0.170645100006368,0.00910289998864755,0.18127659999299794,5.641792297363281,36.171875,5.641792297363281,True,False,68869e6
BCNF-Index,pass,10000,11000,11000,10000,1,0,0.1,4,1,1000,1,0.022890099993674085,0.005285799998091534,0.02944230000139214,1.3648529052734375,36.12109375,1.3648529052734375,True,False,68869e6
BCNF-Index,pass,10000,11000,11000,10000,1,1,0.1,4,1,1000,1,0.02191300000413321,0.005839500023284927,0.02923050001845695,1.364898681640625,36.0546875,1.364898681640625,True,False,68869e6
BCNF-Index,pass,10000,11000,11000,10000,1,2,0.1,4,1,1000,1,0.02148500000475906,0.005332200002158061,0.028392699983669445,1.364898681640625,36.1171875,1.364898681640625,True,False,68869e6
BCNF-Index,pass,10000,11000,11000,10000,1,3,0.1,4,1,1000,1,0.021399599994765595,0.005515600001672283,0.028256699995836243,1.364898681640625,36.1171875,1.364898681640625,True,False,68869e6
BCNF-Index,pass,10000,11000,11000,10000,1,4,0.1,4,1,1000,1,0.022688299999572337,0.005617200018605217,0.029705000022659078,1.364898681640625,36.0546875,1.364898681640625,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,2,0,0.1,4,1,1000,0,0.0,49.77568099999917,49.96914080000715,2.657541275024414,31.95703125,2.657541275024414,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,2,1,0.1,4,1,1000,0,0.0,48.37036299999454,48.56417789999978,2.657541275024414,31.7734375,2.657541275024414,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,2,2,0.1,4,1,1000,0,0.0,48.34699459999683,48.53457129999879,2.657541275024414,31.65234375,2.657541275024414,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,2,3,0.1,4,1,1000,0,0.0,49.64620409999043,49.840441799984546,2.657541275024414,31.77734375,2.657541275024414,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,2,4,0.1,4,1,1000,0,0.0,49.879069099988556,50.06811560000642,2.657541275024414,31.2734375,2.657541275024414,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,2,0,0.1,4,1,1000,4,0.1808941000199411,0.009868399996776134,0.19219309999607503,5.6417236328125,35.453125,5.6417236328125,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,2,1,0.1,4,1,1000,4,0.1790055999881588,0.009203900001011789,0.18959799999720417,5.641792297363281,35.75,5.641792297363281,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,2,2,0.1,4,1,1000,4,0.17802799999481067,0.009372900007292628,0.18873619998339564,5.641792297363281,35.8984375,5.641792297363281,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,2,3,0.1,4,1,1000,4,0.1826242000097409,0.009959799994248897,0.19402520000585355,5.641792297363281,35.8984375,5.641792297363281,True,False,68869e6
