workload,batch_size,batch_index,block_distribution,zipf_alpha,n,r_size,r_prime_size,n_r,n_r_prime,deleted_count,seed,incremental_total_time,static_update_time,static_check_time,static_total_time,speedup,touched_block_entries,touched_block_count,active_block_count,mean_deleted_block_size,median_deleted_block_size,p95_deleted_block_size,p99_deleted_block_size,max_deleted_block_size,primitive_update_count,result_match,inc_is_repair,static_is_repair,code_version
d_only,1,20,uniform,,1100000,1099997,1000000,1099997,1000000,99997,1,2.649999805726111e-05,1.700012944638729e-06,2.1002123999933247,2.1002141000062693,79253.36807452339,0,0,10009,9.990708362473773,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,21,uniform,,1100000,1099998,1000000,1099998,1000000,99998,1,4.0700018871575594e-05,2.3999891709536314e-06,2.47498880000785,2.474991199997021,60810.5663981774,0,0,10010,9.98981018981019,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,22,uniform,,1100000,1099999,1000000,1099999,1000000,99999,1,5.2499992307275534e-05,2.7999922167509794e-06,2.0916586999956053,2.091661499987822,39841.177266190876,0,0,10011,9.988912196583758,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,23,uniform,,1100000,1099998,1000000,1099998,1000000,99998,1,5.060000694356859e-05,3.1999952625483274e-06,2.077409399993485,2.0774125999887474,41055.579346176215,0,0,10011,9.98881230646289,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,24,uniform,,1100000,1099999,1000000,1099999,1000000,99999,1,3.3199990866705775e-05,2.0999868866056204e-06,2.0629931000003126,2.062995199987199,62138.426732401604,0,0,10012,9.987914502596883,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,25,uniform,,1100000,1100000,1000000,1100000,1000000,100000,1,2.649999805726111e-05,1.8999853637069464e-06,2.016369399992982,2.0163712999783456,76089.48859623978,0,0,10013,9.987016878058524,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,26,uniform,,1100000,1099999,1000000,1099999,1000000,99999,1,2.300000051036477e-05,1.6999838408082724e-06,2.0583218000247143,2.058323500008555,89492.32410151415,0,0,10013,9.986917007889744,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,27,uniform,,1100000,1100000,1000000,1100000,1000000,100000,1,2.6299996534362435e-05,1.7999846022576094e-06,2.0501332000130787,2.050134999997681,77951.91141257617,0,0,10014,9.986019572598362,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,28,uniform,,1100000,1100001,1000000,1100001,1000000,100001,1,2.720000338740647e-05,1.8999853637069464e-06,2.3873402000172064,2.38734210000257,87769.91921655067,0,0,10015,9.985122316525212,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,29,uniform,,1100000,1100000,1000000,1100000,1000000,100000,1,2.9399991035461426e-05,2.200016751885414e-06,2.0806566999817733,2.080658899998525,70770.73246345192,0,0,10015,9.98502246630055,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,30,uniform,,1100000,1099999,1000000,1099999,1000000,99999,1,3.589998232200742e-05,2.7999922167509794e-06,2.13045740002417,2.130460200016387,59344.32448760208,0,0,10015,9.984922616075886,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,31,uniform,,1100000,1099998,1000000,1099998,1000000,99998,1,2.8699985705316067e-05,1.400010660290718e-06,2.0547600999998394,2.0547615000104997,71594.51301154825,0,0,10015,9.984822765851224,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,32,uniform,,1100000,1099997,1000000,1099997,1000000,99997,1,2.6599998818710446e-05,1.9999861251562834e-06,2.1379637000209186,2.137965700007044,80374.65394559334,0,0,10015,9.984722915626561,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,33,uniform,,1100000,1099998,1000000,1099998,1000000,99998,1,2.9999995604157448e-05,2.4999899324029684e-06,2.0022306999890134,2.0022331999789458,66741.11644541284,0,0,10016,9.98382587859425,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,34,uniform,,1100000,1099997,1000000,1099997,1000000,99997,1,2.3600005079060793e-05,1.7999846022576094e-06,2.1169393000018317,2.116941099986434,89700.87476229822,0,0,10016,9.983726038338657,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,35,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,2.3899978259578347e-05,2.400018274784088e-06,2.5263763000257313,2.526378700044006,105706.31791397193,0,0,10016,9.983626198083067,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,36,uniform,,1100000,1099997,1000000,1099997,1000000,99997,1,3.689998993650079e-05,2.6999914553016424e-06,2.045476500003133,2.0454791999945883,55433.05576815993,0,0,10017,9.98272936008785,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,37,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,2.4699984351173043e-05,1.700012944638729e-06,2.080700699996669,2.0807024000096135,84239.01693325557,0,0,10017,9.982629529799341,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,38,uniform,,1100000,1099995,1000000,1099995,1000000,99995,1,2.649999805726111e-05,2.6999914553016424e-06,2.068495299987262,2.0684979999787174,78056.53402347855,0,0,10017,9.982529699510831,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,39,uniform,,1100000,1099994,1000000,1099994,1000000,99994,1,2.3800006601959467e-05,1.8999853637069464e-06,2.0739961999934167,2.0739980999787804,87142.75313722085,0,0,10017,9.982429869222322,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,40,uniform,,1100000,1099995,1000000,1099995,1000000,99995,1,2.7699978090822697e-05,2.100015990436077e-06,2.104294499993557,2.1042966000095475,75967.4463680072,0,0,10018,9.981533240167698,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,41,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,2.5999994250014424e-05,1.9000144675374031e-06,1.9560591999907047,1.9560611000051722,75233.13586902378,0,0,10019,9.980636790098812,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,42,uniform,,1100000,1099995,1000000,1099995,1000000,99995,1,2.509998739697039e-05,2.200016751885414e-06,2.366123299987521,2.366125500004273,94267.99554050247,0,0,10019,9.980536979738497,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,43,uniform,,1100000,1099994,1000000,1099994,1000000,99994,1,5.0000002374872565e-05,3.0999945010989904e-06,2.1056256000010762,2.1056286999955773,42112.57199967171,0,0,10019,9.980437169378181,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,44,uniform,,1100000,1099993,1000000,1099993,1000000,99993,1,2.989999484270811e-05,1.9999861251562834e-06,2.040039399988018,2.040041399974143,68228.82113211,0,0,10019,9.980337359017867,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,45,uniform,,1100000,1099992,1000000,1099992,1000000,99992,1,2.19999928958714e-05,1.5999830793589354e-06,2.105658000014955,2.1056595999980345,95711.83090669045,0,0,10019,9.98023754865755,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,46,uniform,,1100000,1099993,1000000,1099993,1000000,99993,1,2.889998722821474e-05,1.700012944638729e-06,2.20459799998207,2.204599699995015,76283.76035553013,0,0,10020,9.97934131736527,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,47,uniform,,1100000,1099994,1000000,1099994,1000000,99994,1,3.1400006264448166e-05,2.1999876480549574e-06,2.0751885999925435,2.0751907999801915,66088.86579522029,0,0,10021,9.978445264943618,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,48,uniform,,1100000,1099995,1000000,1099995,1000000,99995,1,3.5500008380040526e-05,2.3999891709536314e-06,2.118820300005609,2.11882269999478,59685.13238960428,0,0,10022,9.977549391339053,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,49,uniform,,1100000,1099994,1000000,1099994,1000000,99994,1,2.5200017262250185e-05,2.2999884095042944e-06,2.3788673999952152,2.3788696999836247,94399.52660457854,0,0,10022,9.977449610856116,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,50,uniform,,1100000,1099993,1000000,1099993,1000000,99993,1,2.8699985705316067e-05,2.400018274784088e-06,2.0694154999800958,2.0694178999983706,72105.1892236676,0,0,10022,9.977349830373178,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,51,uniform,,1100000,1099994,1000000,1099994,1000000,99994,1,3.100000321865082e-05,2.200016751885414e-06,2.0484190999995917,2.0484213000163436,66078.09959141981,0,0,10023,9.976454155442482,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,52,uniform,,1100000,1099995,1000000,1099995,1000000,99995,1,3.1800009310245514e-05,2.3999891709536314e-06,2.0535970000200905,2.0535994000092614,64578.578577573586,0,0,10024,9.975558659217876,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,53,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,2.9999995604157448e-05,1.9999861251562834e-06,2.061496200010879,2.061498199997004,68716.61673548106,0,0,10025,9.974663341645885,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,54,uniform,,1100000,1099995,1000000,1099995,1000000,99995,1,3.2400013878941536e-05,3.1999952625483274e-06,2.0844919999944977,2.0844951999897603,64336.24404539477,0,0,10025,9.974563591022443,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,55,uniform,,1100000,1099994,1000000,1099994,1000000,99994,1,2.6299996534362435e-05,2.0999868866056204e-06,2.1071277000010014,2.107129799987888,80119.01435936707,0,0,10025,9.974463840399002,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,56,uniform,,1100000,1099993,1000000,1099993,1000000,99993,1,3.0199997127056122e-05,2.2999884095042944e-06,2.6468707000021823,2.646872999990592,87644.80966189441,0,0,10025,9.97436408977556,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,57,uniform,,1100000,1099992,1000000,1099992,1000000,99992,1,2.3800006601959467e-05,1.7999846022576094e-06,2.0667705000087153,2.0667722999933176,86839.14818003282,0,0,10025,9.97426433915212,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,58,uniform,,1100000,1099993,1000000,1099993,1000000,99993,1,2.549999044276774e-05,2.00001522898674e-06,2.086781499994686,2.086783500009915,81834.67773031125,0,0,10026,9.973369239976062,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,59,uniform,,1100000,1099992,1000000,1099992,1000000,99992,1,2.9999995604157448e-05,2.4999899324029684e-06,2.1863229000009596,2.186325399990892,72877.52401163377,0,0,10026,9.973269499301816,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,60,uniform,,1100000,1099993,1000000,1099993,1000000,99993,1,2.9699993319809437e-05,2.1999876480549574e-06,2.150972000003094,2.150974199990742,72423.39002669322,0,0,10027,9.972374588610752,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,61,uniform,,1100000,1099994,1000000,1099994,1000000,99994,1,2.8099981136620045e-05,1.9000144675374031e-06,2.1699030000017956,2.169904900016263,77220.86678515351,0,0,10028,9.971479856402075,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,62,uniform,,1100000,1099995,1000000,1099995,1000000,99995,1,3.510000533424318e-05,2.5999906938523054e-06,2.066569700022228,2.066572300012922,58876.694756419216,0,0,10029,9.970585302622395,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,63,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,2.8799986466765404e-05,1.9000144675374031e-06,2.1053536999970675,2.105355600011535,73102.65935163102,0,0,10030,9.969690927218345,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,64,uniform,,1100000,1099997,1000000,1099997,1000000,99997,1,3.360002301633358e-05,3.00002284348011e-06,2.0617617999960203,2.0617648000188638,61362.00558602601,0,0,10031,9.968796730136576,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,65,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,2.4999986635521054e-05,1.6999838408082724e-06,2.039425499999197,2.039427199983038,81577.13160875584,0,0,10031,9.968697039178547,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,66,uniform,,1100000,1099995,1000000,1099995,1000000,99995,1,2.3600005079060793e-05,1.8999853637069464e-06,2.1850387000013143,2.185040599986678,92586.44617519023,0,0,10031,9.968597348220516,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,67,uniform,,1100000,1099996,1000000,1099996,1000000,99996,1,2.5800021830946207e-05,1.9000144675374031e-06,2.329975700005889,2.3299776000203565,90309.13288707497,0,0,10032,9.967703349282298,10.0,10.0,10.0,10,1,True,True,True,3b86002
d_only,1,68,uniform,,1100000,1099997,1000000,1099997,1000000,99997,1,3.359999391250312e-05,2.700020559132099e-06,2.0773136999923736,2.0773164000129327,61824.9040586858,0,0,10033,9.966809528555766,10.0,10.0,10.0,10,1,True,True,True,3b86002
