algorithm,case_type,base_clean_size,n,r_size,r_prime_size,seed,rep,conflict_ratio,fd_count,candidate_key_width,deleted_count,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,peak_memory_mb,result,timeout,code_version
FD-Hash,pass,1000,1100,1100,1000,1,0,0.1,4,1,100,4,0.017969999986235052,0.0008278000168502331,0.01895430000149645,1.1006011962890625,27.2578125,1.1006011962890625,True,False,68869e6
BCNF-Index,pass,1000,1100,1100,1000,1,0,0.1,4,1,100,1,0.0023373999865725636,0.0004658999969251454,0.0029072000179439783,0.12100982666015625,27.1328125,0.12100982666015625,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,1,0,0.1,4,1,1000,4,0.17798710000352003,0.008800999989034608,0.18805019999854267,5.6419830322265625,33.41796875,5.6419830322265625,True,False,68869e6
BCNF-Index,pass,10000,11000,11000,10000,1,0,0.1,4,1,1000,1,0.022736100014299154,0.00588199999765493,0.030732199986232445,1.3650054931640625,33.4375,1.3650054931640625,True,False,68869e6
