experiment,param_name,param_value,algorithm,base_clean_size,n,r_size,r_prime_size,seed,rep,conflict_ratio,fd_count,requested_fd_count,actual_nontrivial_fd_count,candidate_key_width,block_distribution,zipf_alpha,deleted_count,active_block_count,mean_deleted_block_size,max_deleted_block_size,raw_fd_index_count,bcnf_index_count,compression_ratio,index_count,validation_time_sec,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,result,candidate_consistent,code_version
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,1,0,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.36524879999342375,21.02246129998821,0.4214028999849688,21.809176400012802,597.8469104766846,428.90234375,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,1,1,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.31973620000644587,19.958359999989625,0.43515779997687787,20.713296400004765,597.1002502441406,432.46875,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,1,2,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.4028933999943547,20.344103000010364,0.5226898999826517,21.269744899997022,597.1001892089844,433.90625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,1,3,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.30740449999575503,20.098429400008172,0.4357797999982722,20.841663700004574,597.1003112792969,437.1328125,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,1,4,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.29032059997553006,19.246933099988382,0.38067100002081133,19.91797119998955,597.1001892089844,437.26171875,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,1,0,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.28191960000549443,2.5059623999986798,0.284551199991256,3.072458100010408,133.77749633789062,437.65625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,1,1,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.29737630000454374,2.4863592000037897,0.3597699999809265,3.143519999983255,133.77752685546875,438.61328125,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,1,2,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.28583109998726286,2.529100499988999,0.3319645000156015,3.1469049000006635,133.77751922607422,437.61328125,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,1,3,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.38068529998417944,2.800927000003867,0.3013271000236273,3.4829488999966998,133.77740478515625,438.4140625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,1,4,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.3053019999933895,2.5364798000082374,0.3183424000162631,3.16013259999454,133.77739715576172,439.4140625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,2,0,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.2631624999921769,19.40059969999129,0.3482915999775287,20.01209380000364,597.1004333496094,436.12890625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,2,1,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.26118440000573173,19.329222400003346,0.42286109999986365,20.013309800007846,597.1001892089844,439.12109375,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,2,2,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.2685391000122763,19.36868260000483,0.41574309999123216,20.05300559999887,597.1003112792969,441.4921875,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,2,3,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.3143368000164628,19.18068439999479,0.36795890002395026,19.863023500016425,597.1002502441406,442.11328125,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,2,4,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.2993265999830328,21.01535289999447,0.3812243000138551,21.69594619999407,597.1003112792969,444.63671875,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,2,0,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.29234879999421537,2.576551100006327,0.3028938999923412,3.1718117999844253,133.7774200439453,445.265625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,2,1,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.33040919998893514,2.6265278000209946,0.36003660000278614,3.316982899996219,133.7773666381836,446.2578125,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,2,2,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.3268564000027254,2.815202199999476,0.30406910000601783,3.4461374999955297,133.77735900878906,523.91015625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,2,3,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.29140049999114126,2.7159204999916255,0.36213610001141205,3.36946899999748,133.77745819091797,524.28125,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,2,4,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.3238382999843452,2.5495820000069216,0.3273615000071004,3.200791000010213,133.77745056152344,523.28515625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,3,0,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.275374400021974,20.81828820001101,0.3920827000110876,21.485785700002452,597.1004333496094,454.62890625,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,3,1,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.29169830001774244,19.92681239999365,0.4308898000163026,20.64943900000071,597.1003112792969,451.26171875,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,3,2,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.36753249997855164,19.453416600008495,0.3538362999970559,20.174832399992738,597.1002502441406,650.63671875,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,3,3,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.2682212999789044,19.750725299993064,0.43959069999982603,20.458577699988382,597.1003112792969,649.63671875,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,3,4,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.2988707000040449,20.159007400012342,0.39845259999856353,20.856375000003027,597.1002502441406,646.234375,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,3,0,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.2624422000080813,2.4998497999913525,0.35824020000291057,3.120548200007761,133.77748107910156,646.078125,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,3,1,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.2639472000009846,2.4940785000217147,0.2824970000074245,3.0405333999951836,133.7774887084961,647.0859375,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,3,2,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.26986160001251847,2.484986299998127,0.2854955999937374,3.04035280001699,133.77730560302734,647.08984375,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,3,3,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.26927449999493547,2.43031290001818,0.2850375999987591,2.984633299987763,133.7772979736328,648.0859375,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,1010000,1010000,1000000,3,4,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,1,0.2688315999985207,2.479597699973965,0.2754737999930512,3.0239133999857586,133.77729034423828,649.0859375,True,True,68869e6
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,1010000,1010000,1000000,4,0,0.01,4,4,4,1,uniform,,10000,1000,10.0,10,4,1,0.75,4,0.2958502999972552,19.206187900010264,0.34827190000214614,19.850348800013307,597.1004333496094,636.40234375,True,True,68869e6
