experiment,param_name,param_value,algorithm,actual_nontrivial_fd_count,block_distribution,raw_fd_index_count,bcnf_index_count,median_total_time,mean_total_time,std_total_time,p25_total_time,p75_total_time,median_python_peak_mb,speedup_vs_fd_hash_median,n_runs
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,4,uniform,4,1,3.06690219999291,3.1229316519992425,0.1474564364879966,3.0131453999783844,3.1718117999844253,133.7773666381836,6.538521378361927,25
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,4,uniform,4,1,20.05300559999887,20.34914641200099,0.6726435537670366,19.91797119998955,20.713296400004765,597.1003112792969,,25
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,4,uniform,4,1,3.5447472000087146,3.6088414800050668,0.4368301946520816,3.3510310999990907,3.6482155000267085,133.77730560302734,6.072780789544074,25
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,4,uniform,4,1,21.52647270000307,21.917548324003583,1.2156697424476302,21.050654299993766,22.622018499998376,597.1003112792969,,25
A_conflict_ratio,conflict_ratio,0.1,BCNF-Index,4,uniform,4,1,3.505607900005998,3.510981392003596,0.10725978375906109,3.422853700001724,3.5599700000020675,133.77730560302734,5.802818021937355,25
A_conflict_ratio,conflict_ratio,0.1,FD-Hash,4,uniform,4,1,20.34240470000077,20.423051255998434,0.36750346187904703,20.152396700024838,20.592672600003425,597.1002502441406,,25
A_conflict_ratio,conflict_ratio,0.2,BCNF-Index,4,uniform,4,1,3.9837270000134595,4.695454184000846,1.5212606630622096,3.9223640999989584,4.035593600012362,133.77725982666016,5.333909728238025,25
A_conflict_ratio,conflict_ratio,0.2,FD-Hash,4,uniform,4,1,21.248840200016275,22.01606205600081,3.928884886241638,21.12786809998215,21.374135999998543,597.1003112792969,,25
A_conflict_ratio,conflict_ratio,0.4,BCNF-Index,4,uniform,4,1,9.622931199992308,8.287412567997817,2.1674320959811175,5.05337049998343,9.73953170000459,133.77730560302734,4.657519592371205,25
A_conflict_ratio,conflict_ratio,0.4,FD-Hash,4,uniform,4,1,44.81899060000433,40.93073108799756,8.97176899559605,43.88087399999495,45.88147480000043,597.1002502441406,,25
B_fd_count,fd_count,1,BCNF-Index,1,uniform,1,1,3.836080100008985,3.808150824001059,0.2031767723758119,3.7352784000104293,3.9256837999855634,133.7772979736328,1.8822037370896842,25
B_fd_count,fd_count,1,FD-Hash,1,uniform,1,1,7.220284300012281,7.275706923998659,0.39337706147311857,7.081613100017421,7.545762299996568,225.33001708984375,,25
B_fd_count,fd_count,16,BCNF-Index,15,uniform,15,1,3.5160350000078324,3.5253349359962156,0.08368137325183923,3.464468099991791,3.5979191999940667,133.7773666381836,21.073492556198843,25
B_fd_count,fd_count,16,FD-Hash,15,uniform,15,1,74.09513739999966,74.8669664159976,2.6036000162820123,73.48189920000732,74.97294959999272,2097.587547302246,,25
B_fd_count,fd_count,2,BCNF-Index,2,uniform,2,1,4.030431099992711,3.916211943998933,0.4244361016239276,3.4732661000161897,4.286902899999404,133.77730560302734,3.067489802775311,25
B_fd_count,fd_count,2,FD-Hash,2,uniform,2,1,12.36330630001612,12.09014347599703,0.8514225545532949,11.085052099981112,12.808314099995187,349.2534484863281,,25
B_fd_count,fd_count,4,BCNF-Index,4,uniform,4,1,3.5074975000170525,3.488287036003312,0.10111860728907268,3.416314700007206,3.5588025999895763,133.77730560302734,5.880163963026085,25
B_fd_count,fd_count,4,FD-Hash,4,uniform,4,1,20.62466040000436,21.252561924001203,1.1065603605035526,20.479765199997928,22.0498963999853,597.1003112792969,,25
B_fd_count,fd_count,8,BCNF-Index,8,uniform,8,1,3.797282499988796,3.781595652004471,0.23303778659165097,3.5659857999999076,3.9544915000151377,133.77729034423828,11.280186238475027,25
