batch_size,batch_index,distribution,n,seed,incremental_time,static_rebuild_time,speedup,result_match,affected_block_rows,inc_is_repair,static_is_repair
1,0,uniform,1000000,1,0.0025144999999611173,2.6010071000018797,1034.4033008717838,True,1,True,True
1,1,uniform,1000000,1,0.028054599999450147,2.712203600000066,96.67589628984993,True,2,False,False
1,2,uniform,1000000,1,0.0022061000017856713,2.7309272999991663,1237.8982357049485,True,1,False,False
1,3,uniform,1000000,1,0.029148500001610955,2.092252300000837,71.77907267561638,True,2,False,False
1,4,uniform,1000000,1,0.02791819999765721,2.0961392000026535,75.08145941280432,True,2,False,False
1,5,uniform,1000000,1,0.027549499998713145,2.197083899998688,79.75040926700359,True,2,False,False
1,6,uniform,1000000,1,0.02751429999989341,2.324025799996889,84.46610671563123,True,2,False,False
1,7,uniform,1000000,1,0.002380400001129601,1.2889377000028617,541.4794569783254,True,1,False,False
1,8,uniform,1000000,1,0.0022667999983241316,1.3955997999983083,615.6695787145269,True,1,False,False
1,9,uniform,1000000,1,3.600000127335079e-05,1.2613043999990623,35036.232094045794,True,1,False,False
1,10,uniform,1000000,1,0.0026905000013357494,1.0959363000001758,407.33555081065884,True,1,False,False
1,11,uniform,1000000,1,0.002304300000105286,1.0776672000029066,467.6766045886676,True,1,False,False
1,12,uniform,1000000,1,0.002569299998867791,1.0847883000024012,422.2116142452936,True,1,False,False
1,13,uniform,1000000,1,0.0025976000033551827,1.0852963000033924,417.8073216051634,True,1,False,False
1,14,uniform,1000000,1,0.002552600002672989,1.0834165000014764,424.43645650198323,True,1,False,False
1,15,uniform,1000000,1,0.002369699999690056,1.0639730999973835,448.99063178315635,True,1,False,False
1,16,uniform,1000000,1,0.026989800000592368,1.0938341000000946,40.52768453178932,True,2,False,False
1,17,uniform,1000000,1,0.002488500002073124,1.083985400000529,435.59791002510764,True,1,False,False
1,18,uniform,1000000,1,3.609999839682132e-05,1.1238612000015564,31131.890579267027,True,1,False,False
1,19,uniform,1000000,1,0.0023318999992625322,0.9979830999982369,427.96993881120585,True,1,False,False
1,20,uniform,1000000,1,0.0023290999997698236,1.0136390999978175,435.2063458408792,True,1,False,False
1,21,uniform,1000000,1,0.027329699998517754,1.0413746999984141,38.104139454691925,True,2,False,False
1,22,uniform,1000000,1,0.0025198000003001653,0.9778570000016771,388.0692911680261,True,1,False,False
1,23,uniform,1000000,1,0.0023753999994369224,0.9875302000000374,415.73217152232337,True,1,False,False
1,24,uniform,1000000,1,0.002527399999962654,0.9080596999992849,359.28610430193197,True,1,False,False
1,25,uniform,1000000,1,3.110000034212135e-05,0.9102754999985336,29269.308359642393,True,1,False,False
1,26,uniform,1000000,1,0.002299499999935506,0.9120437999990827,396.6270058815668,True,1,False,False
1,27,uniform,1000000,1,0.002624400000058813,0.8987954999975045,342.47656606361926,True,1,False,False
1,28,uniform,1000000,1,0.0026099999995494727,0.9231844000023557,353.7104981462498,True,1,False,False
1,29,uniform,1000000,1,0.002428100000543054,0.9196384999995644,378.74819809475866,True,1,False,False
1,30,uniform,1000000,1,0.02895139999964158,0.8758926000009524,30.253894458015708,True,3,False,False
1,31,uniform,1000000,1,0.02836830000160262,0.8930032000025676,31.47891131834191,True,2,False,False
1,32,uniform,1000000,1,0.028198399999382673,0.907930800000031,32.19795449457798,True,2,False,False
