experiment,param_name,param_value,algorithm,n,seed,rep,conflict_ratio,fd_count,candidate_key_width,skew,deleted_count,raw_fd_index_count,bcnf_index_count,compression_ratio,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,result
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,3,0,0.01,4,1,uniform,10000,4,1,0.75,1,2.2601067000014154,0.6634749999993801,3.4575951999995596,165.77782440185547,666.16796875,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,3,1,0.01,4,1,uniform,10000,4,1,0.75,1,2.355215400000816,0.6694704000001366,3.570048900000984,165.77754974365234,666.171875,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,3,2,0.01,4,1,uniform,10000,4,1,0.75,1,2.31419249999999,0.6525921000011294,3.51460969999971,165.77774810791016,543.67578125,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,3,3,0.01,4,1,uniform,10000,4,1,0.75,1,2.2871490999987145,0.6505550999991101,3.476323400000183,165.7774658203125,545.35546875,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,3,4,0.01,4,1,uniform,10000,4,1,0.75,1,2.372449399999823,0.6593632999993133,3.5463187000004837,165.77745819091797,545.35546875,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,4,0,0.01,4,1,uniform,10000,4,1,0.75,4,18.201987600001303,0.07682709999971848,18.796047300000282,629.1004638671875,658.57421875,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,4,1,0.01,4,1,uniform,10000,4,1,0.75,4,17.99275900000066,0.07724389999930281,18.620251599999392,629.1001739501953,659.50390625,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,4,2,0.01,4,1,uniform,10000,4,1,0.75,4,18.080838400001085,0.07619390000036219,18.68123209999976,629.1002960205078,676.3203125,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,4,3,0.01,4,1,uniform,10000,4,1,0.75,4,18.14486509999915,0.0766354000006686,18.76602509999975,629.1002349853516,676.3203125,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,4,4,0.01,4,1,uniform,10000,4,1,0.75,4,18.204781799999182,0.07661690000168164,18.8290563999999,629.1002960205078,677.78125,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,4,0,0.01,4,1,uniform,10000,4,1,0.75,1,2.330303200000344,0.6640310000002501,3.538390800000343,165.77777099609375,682.921875,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,4,1,0.01,4,1,uniform,10000,4,1,0.75,1,2.3209200000001147,0.6657362999994803,3.5182043999993766,165.77749633789062,684.7734375,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,4,2,0.01,4,1,uniform,10000,4,1,0.75,1,2.2914344999990135,0.6515357999996922,3.497272200000225,165.77742767333984,684.7734375,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,4,3,0.01,4,1,uniform,10000,4,1,0.75,1,2.3568866999994498,0.6700161000007938,3.55444819999866,165.77742767333984,683.79296875,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,4,4,0.01,4,1,uniform,10000,4,1,0.75,1,2.374893800000791,0.6578017000010732,3.545248399999764,165.77742767333984,685.44921875,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,5,0,0.01,4,1,uniform,10000,4,1,0.75,4,18.364738000000216,0.07734829999935755,18.973028300000806,629.1004638671875,675.3125,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,5,1,0.01,4,1,uniform,10000,4,1,0.75,4,18.319052799999554,0.08041090000006079,18.922831199999564,629.1001739501953,694.171875,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,5,2,0.01,4,1,uniform,10000,4,1,0.75,4,18.332124000000476,0.07599659999868891,18.933108899998842,629.1002960205078,694.171875,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,5,3,0.01,4,1,uniform,10000,4,1,0.75,4,18.15549210000063,0.07754279999971914,18.77110900000116,629.1002349853516,690.2890625,True
A_conflict_ratio,conflict_ratio,0.01,FD-Hash,1000000,5,4,0.01,4,1,uniform,10000,4,1,0.75,4,18.246127000000342,0.08074479999959294,18.85629449999942,629.1002960205078,689.13671875,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,5,0,0.01,4,1,uniform,10000,4,1,0.75,1,2.332184299999426,0.6494686000005458,3.514750100001038,165.7777557373047,691.671875,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,5,1,0.01,4,1,uniform,10000,4,1,0.75,1,2.2783763999996154,0.6581153999995877,3.478695699999662,165.7774887084961,694.5859375,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,5,2,0.01,4,1,uniform,10000,4,1,0.75,1,2.373821400000452,0.6760047999996459,3.5822078000001056,165.77770233154297,696.6171875,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,5,3,0.01,4,1,uniform,10000,4,1,0.75,1,2.348823900001662,0.6550507000010839,3.536524899998767,165.77742767333984,696.6484375,True
A_conflict_ratio,conflict_ratio,0.01,BCNF-Index,1000000,5,4,0.01,4,1,uniform,10000,4,1,0.75,1,2.2565173000002687,0.6585006000004796,3.4419015999992553,165.77770233154297,697.65625,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,1,0,0.05,4,1,uniform,50000,4,1,0.75,4,18.662485999999262,0.4103871999996045,19.636680099998557,629.1005630493164,675.00390625,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,1,1,0.05,4,1,uniform,50000,4,1,0.75,4,18.39164189999974,0.39889489999950456,19.35739029999968,629.1001739501953,675.00390625,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,1,2,0.05,4,1,uniform,50000,4,1,0.75,4,18.448085200001515,0.38713710000047286,19.40012349999961,629.1002349853516,687.1875,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,1,3,0.05,4,1,uniform,50000,4,1,0.75,4,18.274857299998985,0.40304869999999937,19.234160399999382,629.1001739501953,692.69921875,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,1,4,0.05,4,1,uniform,50000,4,1,0.75,4,18.200988799999323,0.3852143999993132,19.16533210000125,629.1002960205078,697.3671875,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,1,0,0.05,4,1,uniform,50000,4,1,0.75,1,2.373377599999003,3.2512670999985858,6.190227799999775,165.7777557373047,723.91796875,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,1,1,0.05,4,1,uniform,50000,4,1,0.75,1,2.277811700001621,3.1636567000023206,6.004087799999979,165.7778778076172,725.42578125,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,1,2,0.05,4,1,uniform,50000,4,1,0.75,1,2.38519720000113,3.2416211999989173,6.164198599999509,165.77742767333984,725.42578125,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,1,3,0.05,4,1,uniform,50000,4,1,0.75,1,2.288692699999956,3.1453956000004837,5.988330799998948,165.77742767333984,724.42578125,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,1,4,0.05,4,1,uniform,50000,4,1,0.75,1,2.3863615000009304,3.207883999999467,6.125847499999509,165.77742767333984,726.42578125,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,2,0,0.05,4,1,uniform,50000,4,1,0.75,4,18.31951190000109,0.38407530000040424,19.26516569999876,629.1005096435547,750.5859375,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,2,1,0.05,4,1,uniform,50000,4,1,0.75,4,18.149041799999395,0.3859583000012208,19.09947330000068,629.1001739501953,757.984375,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,2,2,0.05,4,1,uniform,50000,4,1,0.75,4,18.093504500000563,0.3966455000008864,19.074929899998097,629.1002349853516,757.984375,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,2,3,0.05,4,1,uniform,50000,4,1,0.75,4,18.03615130000253,0.38795410000238917,18.988921699998173,629.1001739501953,760.4375,True
A_conflict_ratio,conflict_ratio,0.05,FD-Hash,1000000,2,4,0.05,4,1,uniform,50000,4,1,0.75,4,18.211275900001056,0.3869722000017646,19.1693531000019,629.1002960205078,760.4375,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,2,0,0.05,4,1,uniform,50000,4,1,0.75,1,2.2613507000023674,3.1454393999993044,5.950544800001808,165.7777557373047,758.56640625,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,2,1,0.05,4,1,uniform,50000,4,1,0.75,1,2.328162699999666,3.2028675000001385,6.085118599999987,165.7774887084961,780.3515625,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,2,2,0.05,4,1,uniform,50000,4,1,0.75,1,2.3031104000001505,3.174188699998922,6.023631399999431,165.77742767333984,780.3515625,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,2,3,0.05,4,1,uniform,50000,4,1,0.75,1,2.3794463999984146,3.1620919999986654,6.092536399999517,165.77742767333984,780.3515625,True
A_conflict_ratio,conflict_ratio,0.05,BCNF-Index,1000000,2,4,0.05,4,1,uniform,50000,4,1,0.75,1,2.2734142000008433,3.1369599999998172,5.9544141999977,165.77742767333984,780.3515625,True
